method,N,runs,cost_mean,cost_std,gap_mean_pct,gap_std_pct,runtime_mean,runtime_std
savings,5,5,779.6000,206.3764,14.0551,15.5723,0.0000,0.0000
savings,10,5,1771.8536,325.3918,30.6728,20.3669,0.0000,0.0000
savings,15,5,4828.0518,2576.4794,70.1672,35.7619,0.0001,0.0000
savings,20,5,5454.1597,1360.7409,90.1586,19.8525,0.0001,0.0000
savings,30,5,7363.2463,1475.7660,70.3211,28.2404,0.0003,0.0001
savings,31,1,11760.5492,0.0000,20.6236,0.0000,0.0002,0.0000
savings,36,1,9961.1344,0.0000,15.9077,0.0000,0.0003,0.0000
savings,44,1,13408.2606,0.0000,-0.3717,0.0000,0.0002,0.0000
savings,50,5,25518.6232,4570.2035,96.5958,45.9869,0.0012,0.0004
savings,53,1,18830.8006,0.0000,-0.6481,0.0000,0.0003,0.0000
savings,59,1,20200.8296,0.0000,-0.3027,0.0000,0.0002,0.0000
savings,75,5,28566.7517,5947.6327,17.0078,1.4801,0.0021,0.0013
savings,79,1,26214.5557,0.0000,-12.2256,0.0000,0.0010,0.0000
savings,100,6,670295.9875,1396227.4382,-31.1497,0.0000,0.0103,0.0051
savings,105,1,4140400.5351,0.0000,-18.4851,0.0000,0.0007,0.0000
savings,109,1,2314144.7101,0.0000,,,0.0012,0.0000
savings,119,1,3364039.8636,0.0000,-23.1454,0.0000,0.0010,0.0000
savings,150,5,88986.8945,13355.2545,,,0.0265,0.0036
savings,200,5,100938.4428,15882.3308,,,0.0392,0.0224
tabu,1,60,218.4867,113.4698,0.0000,0.0000,0.0002,0.0001
tabu,2,72,450.7449,365.0495,0.0000,0.0000,0.0004,0.0003
tabu,3,24,208.8995,6.8995,0.0000,0.0000,0.0001,0.0000
tabu,5,60,679.7694,136.0515,0.2579,0.5158,0.0010,0.0010
tabu,10,60,1371.6552,176.1205,0.9302,1.6390,0.0024,0.0025
tabu,15,60,2701.4443,989.1041,1.1500,1.1981,0.0144,0.0034
tabu,20,60,2849.8053,497.6214,0.6437,0.6136,0.0377,0.0064
tabu,30,60,4358.0571,512.9645,0.7564,0.9756,0.1151,0.0255
tabu,31,12,11299.7286,0.0000,15.8972,0.0000,0.0802,0.0016
tabu,36,12,8683.4350,0.0000,1.0404,0.0000,0.1523,0.0018
tabu,44,12,13191.1191,0.0000,-1.9851,0.0000,0.2166,0.0023
tabu,50,60,9251.3769,952.9307,-28.0730,17.0073,0.6566,0.2008
tabu,53,12,18105.7655,0.0000,-4.4734,0.0000,0.4371,0.0033
tabu,59,12,20117.8667,0.0000,-0.7121,0.0000,0.4665,0.0028
tabu,75,60,13960.6363,1808.8769,-43.3264,5.3500,1.8503,0.6158
tabu,79,12,24854.7164,0.0000,-16.7787,0.0000,1.0310,0.0044
tabu,100,72,634325.7067,1374889.3662,-70.8626,0.0000,4.7035,1.3521
tabu,105,12,3835481.0146,0.0000,-24.4882,0.0000,2.5701,0.0319
tabu,109,12,1962796.1084,0.0000,,,2.6746,0.0069
tabu,119,12,3364039.8636,0.0000,-23.1454,0.0000,1.8083,0.0273
tabu,150,60,30283.2211,1715.7156,,,16.5159,3.1454
tabu,200,60,47055.9900,3053.7381,,,44.1714,9.6437
