method,variant,instance,N,exact_status,exact_optimal,exact_cost,method_cost_mean,method_cost_best,delta_mean,delta_best,gap_mean_pct,gap_best_pct,runtime_mean
savings,,augerat_A_n54_k7,53,time_limit,0,18953.6428,18830.8006,18830.8006,-122.8423,-122.8423,-0.6481,-0.6481,0.0003
savings,,augerat_A_n60_k9,59,time_limit,0,20262.1567,20200.8296,20200.8296,-61.3271,-61.3271,-0.3027,-0.3027,0.0002
savings,,augerat_A_n80_k10,79,time_limit,0,29865.8273,26214.5557,26214.5557,-3651.2716,-3651.2716,-12.2256,-12.2256,0.0010
savings,,ex1_1v_feasible,2,optimal,1,184.1421,184.1421,184.1421,0.0000,0.0000,0.0000,0.0000,0.0000
savings,,ex3_3v_all_feasible,3,optimal,1,202.0000,202.0000,202.0000,0.0000,0.0000,0.0000,0.0000,0.0000
savings,,ex5_3v_one_used_feasible,3,optimal,1,215.7990,215.7990,215.7990,0.0000,0.0000,0.0000,0.0000,0.0000
savings,,hfvrp_n001_m03_s01,1,optimal,1,424.0100,424.0100,424.0100,0.0000,0.0000,0.0000,0.0000,0.0000
savings,,hfvrp_n001_m03_s02,1,optimal,1,257.4028,257.4028,257.4028,0.0000,0.0000,0.0000,0.0000,0.0000
savings,,hfvrp_n001_m03_s03,1,optimal,1,130.4387,130.4387,130.4387,0.0000,0.0000,0.0000,0.0000,0.0000
savings,,hfvrp_n001_m03_s04,1,optimal,1,122.3868,122.3868,122.3868,0.0000,0.0000,0.0000,0.0000,0.0000
savings,,hfvrp_n001_m03_s05,1,optimal,1,158.1951,158.1951,158.1951,0.0000,0.0000,0.0000,0.0000,0.0000
savings,,hfvrp_n002_m03_s01,2,optimal,1,1198.8680,1198.8680,1198.8680,0.0000,0.0000,0.0000,0.0000,0.0000
savings,,hfvrp_n002_m03_s02,2,optimal,1,221.7195,221.7195,221.7195,0.0000,0.0000,0.0000,0.0000,0.0000
savings,,hfvrp_n002_m03_s03,2,optimal,1,235.9858,235.9858,235.9858,0.0000,0.0000,0.0000,0.0000,0.0000
savings,,hfvrp_n002_m03_s04,2,optimal,1,245.4430,245.8310,245.8310,0.3880,0.3880,0.1581,0.1581,0.0000
savings,,hfvrp_n002_m03_s05,2,optimal,1,618.3112,935.2981,935.2981,316.9869,316.9869,51.2666,51.2666,0.0000
savings,,hfvrp_n005_m03_s01,5,optimal,1,641.3516,641.3516,641.3516,0.0000,0.0000,0.0000,0.0000,0.0000
savings,,hfvrp_n005_m03_s02,5,optimal,1,711.3085,843.3372,843.3372,132.0287,132.0287,18.5614,18.5614,0.0001
savings,,hfvrp_n005_m03_s03,5,optimal,1,444.7348,461.8449,461.8449,17.1101,17.1101,3.8473,3.8473,0.0000
savings,,hfvrp_n005_m03_s04,5,optimal,1,853.5332,898.6732,898.6732,45.1400,45.1400,5.2886,5.2886,0.0000
