method,instance,runs,cost_mean,cost_std,runtime_mean
savings,hfvrp_n100_m20_s02,1,52681.6671,0,0.0065
savings,hfvrp_n100_m20_s03,1,39009.6302,0,0.0128
savings,hfvrp_n100_m20_s04,1,48971.5155,0,0.0097
savings,hfvrp_n100_m20_s05,1,46847.3342,0,0.0141
savings,hfvrp_n150_m30_s01,1,102292.9059,0,0.0279
savings,hfvrp_n150_m30_s02,1,90182.0501,0,0.0266
savings,hfvrp_n150_m30_s03,1,91120.7500,0,0.0319
savings,hfvrp_n150_m30_s04,1,97557.5516,0,0.0255
savings,hfvrp_n150_m30_s05,1,63781.2150,0,0.0207
savings,hfvrp_n200_m40_s01,1,110982.5664,0,0.0138
savings,hfvrp_n200_m40_s02,1,107523.1672,0,0.0287
savings,hfvrp_n200_m40_s03,1,120234.7612,0,0.0451
savings,hfvrp_n200_m40_s04,1,90023.6413,0,0.0292
savings,hfvrp_n200_m40_s05,1,75928.0780,0,0.0794
savings,pyvrp_X101_FSMFD,1,3792339.4911,0,0.0018
savings,pyvrp_X106_FSMD,1,4140400.5351,0,0.0007
savings,pyvrp_X110_HD,1,2314144.7101,0,0.0012
savings,pyvrp_X120_FSMF,1,3364039.8636,0,0.0010
tabu,augerat_A_n32_k5,12,11299.7286,0.0000,0.0802
tabu,augerat_A_n37_k5,12,8683.4350,0.0000,0.1523
tabu,augerat_A_n45_k6,12,13191.1191,0.0000,0.2166
tabu,augerat_A_n54_k7,12,18105.7655,0.0000,0.4371
tabu,augerat_A_n60_k9,12,20117.8667,0.0000,0.4665
tabu,augerat_A_n80_k10,12,24854.7164,0.0000,1.0310
tabu,ex1_1v_feasible,12,184.1421,0.0000,0.0000
tabu,ex3_3v_all_feasible,12,202.0000,0.0000,0.0000
tabu,ex5_3v_one_used_feasible,12,215.7990,0.0000,0.0001
tabu,hfvrp_n001_m03_s01,12,424.0100,0.0000,0.0003
tabu,hfvrp_n001_m03_s02,12,257.4028,0.0000,0.0002
tabu,hfvrp_n001_m03_s03,12,130.4387,0.0000,0.0002
tabu,hfvrp_n001_m03_s04,12,122.3868,0.0000,0.0002
tabu,hfvrp_n001_m03_s05,12,158.1951,0.0000,0.0002
tabu,hfvrp_n002_m03_s01,12,1198.8680,0.0000,0.0005
tabu,hfvrp_n002_m03_s02,12,221.7195,0.0000,0.0003
tabu,hfvrp_n002_m03_s03,12,235.9858,0.0000,0.0006
tabu,hfvrp_n002_m03_s04,12,245.4430,0.0000,0.0005
tabu,hfvrp_n002_m03_s05,12,618.3112,0.0000,0.0006
tabu,hfvrp_n005_m03_s01,12,641.3516,0.0000,0.0000
tabu,hfvrp_n005_m03_s02,12,711.3085,0.0000,0.0017
tabu,hfvrp_n005_m03_s03,12,444.7348,0.0000,0.0018
tabu,hfvrp_n005_m03_s04,12,853.5332,0.0000,0.0015
tabu,hfvrp_n005_m03_s05,12,747.9187,0.0000,0.0001
tabu,hfvrp_n010_m03_s01,12,1058.3220,0.0000,0.0051
tabu,hfvrp_n010_m03_s02,12,1364.9394,0.0000,0.0053
tabu,hfvrp_n010_m03_s03,12,1601.3166,0.0000,0.0006
tabu,hfvrp_n010_m03_s04,12,1412.3687,0.0000,0.0005
tabu,hfvrp_n010_m03_s05,12,1421.3291,0.0000,0.0004
tabu,hfvrp_n015_m03_s01,12,2704.7017,0.0000,0.0125
tabu,hfvrp_n015_m03_s02,12,2644.9019,0.0000,0.0142
tabu,hfvrp_n015_m03_s03,12,1580.3483,0.0000,0.0131
tabu,hfvrp_n015_m03_s04,12,4501.4797,0.0000,0.0200
tabu,hfvrp_n015_m03_s05,12,2075.7901,0.0000,0.0119
tabu,hfvrp_n020_m04_s01,12,2130.5958,0.0000,0.0322
tabu,hfvrp_n020_m04_s02,12,2401.5003,0.0000,0.0371
tabu,hfvrp_n020_m04_s03,12,3400.3544,0.0000,0.0343
tabu,hfvrp_n020_m04_s04,12,3273.3278,0.0000,0.0498
tabu,hfvrp_n020_m04_s05,12,3043.2484,0.0000,0.0351
tabu,hfvrp_n030_m06_s01,12,5266.8846,0.0000,0.0894
tabu,hfvrp_n030_m06_s02,12,4515.5938,0.0000,0.1539
tabu,hfvrp_n030_m06_s03,12,3835.9142,0.0000,0.0919
tabu,hfvrp_n030_m06_s04,12,4234.5325,0.0000,0.1357
tabu,hfvrp_n030_m06_s05,12,3937.3602,0.0000,0.1045
