method,instance,N,M,beta,seed,cost_operational,cost_priority,cost_total,lower_bound,root_lp_bound,gap,optimal,feasible,status,num_nodes,num_iterations,num_solutions,runtime_sec,variant
ga,hfvrp_n001_m03_s01,1,3,0.001000,50,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.733010,BIG
ga,hfvrp_n001_m03_s01,1,3,0.001000,75,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.012447,DEFAULT
ga,hfvrp_n001_m03_s01,1,3,0.001000,75,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.001331,SMALL
ga,ex4_3v_infeasible,4,3,0.001000,10,141.798990,0.000000,141.798990,0.000000,,,0,0,,,,,0.442198,MEDIUM
ga,hfvrp_n001_m03_s01,1,3,0.001000,75,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.241584,MEDIUM
ga,ex5_3v_one_used_feasible,3,3,0.001000,10,107.597980,120.710678,107.718690,0.000000,,,0,1,,,,,1.149199,BIG
ga,ex5_3v_one_used_feasible,3,3,0.001000,50,107.597980,120.710678,107.718690,0.000000,,,0,1,,,,,0.022569,DEFAULT
ga,ex5_3v_one_used_feasible,3,3,0.001000,50,107.597980,120.710678,107.718690,0.000000,,,0,1,,,,,0.004317,SMALL
ga,ex3_3v_all_feasible,3,3,0.001000,10,162.000000,20.000000,162.020000,0.000000,,,0,1,,,,,1.197475,BIG
ga,ex3_3v_all_feasible,3,3,0.001000,50,162.000000,20.000000,162.020000,0.000000,,,0,1,,,,,0.022026,DEFAULT
ga,ex3_3v_all_feasible,3,3,0.001000,50,162.000000,20.000000,162.020000,0.000000,,,0,1,,,,,0.002263,SMALL
ga,ex1_1v_feasible,2,1,0.001000,50,84.142136,50.000000,84.192136,0.000000,,,0,1,,,,,0.887834,BIG
ga,ex1_1v_feasible,2,1,0.001000,75,84.142136,50.000000,84.192136,0.000000,,,0,1,,,,,0.016890,DEFAULT
ga,ex1_1v_feasible,2,1,0.001000,75,84.142136,50.000000,84.192136,0.000000,,,0,1,,,,,0.001518,SMALL
ga,ex2_1v_infeasible,2,1,0.001000,50,70.000000,0.000000,70.000000,0.000000,,,0,0,,,,,0.925864,BIG
ga,ex2_1v_infeasible,2,1,0.001000,75,70.000000,0.000000,70.000000,0.000000,,,0,0,,,,,0.018882,DEFAULT
ga,ex2_1v_infeasible,2,1,0.001000,75,70.000000,0.000000,70.000000,0.000000,,,0,0,,,,,0.002721,SMALL
ga,hfvrp_n001_m03_s01,1,3,0.001000,75,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.746384,BIG
ga,hfvrp_n001_m03_s01,1,3,0.001000,100,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.015948,DEFAULT
ga,hfvrp_n001_m03_s01,1,3,0.001000,100,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.002555,SMALL
ga,ex5_3v_one_used_feasible,3,3,0.001000,50,107.597980,120.710678,107.718690,0.000000,,,0,1,,,,,0.386394,MEDIUM
ga,ex1_1v_feasible,2,1,0.001000,75,84.142136,50.000000,84.192136,0.000000,,,0,1,,,,,0.324178,MEDIUM
ga,ex3_3v_all_feasible,3,3,0.001000,50,162.000000,20.000000,162.020000,0.000000,,,0,1,,,,,0.396911,MEDIUM
ga,ex2_1v_infeasible,2,1,0.001000,75,70.000000,0.000000,70.000000,0.000000,,,0,0,,,,,0.299629,MEDIUM
ga,hfvrp_n001_m03_s01,1,3,0.001000,100,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.242433,MEDIUM
ga,ex4_3v_infeasible,4,3,0.001000,10,141.798990,0.000000,141.798990,0.000000,,,0,0,,,,,1.335262,BIG
ga,ex4_3v_infeasible,4,3,0.001000,50,141.798990,0.000000,141.798990,0.000000,,,0,0,,,,,0.022728,DEFAULT
ga,ex4_3v_infeasible,4,3,0.001000,50,141.798990,0.000000,141.798990,0.000000,,,0,0,,,,,0.002250,SMALL
ga,ex4_3v_infeasible,4,3,0.001000,50,141.798990,0.000000,141.798990,0.000000,,,0,0,,,,,0.437129,MEDIUM
ga,hfvrp_n001_m03_s01,1,3,0.001000,100,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.726389,BIG
ga,ex1_1v_feasible,2,1,0.001000,75,84.142136,50.000000,84.192136,0.000000,,,0,1,,,,,0.888492,BIG
ga,hfvrp_n001_m03_s01,1,3,0.001000,200,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.016103,DEFAULT
ga,hfvrp_n001_m03_s01,1,3,0.001000,200,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.001331,SMALL
ga,ex1_1v_feasible,2,1,0.001000,100,84.142136,50.000000,84.192136,0.000000,,,0,1,,,,,0.015035,DEFAULT
ga,ex1_1v_feasible,2,1,0.001000,100,84.142136,50.000000,84.192136,0.000000,,,0,1,,,,,0.001622,SMALL
ga,ex2_1v_infeasible,2,1,0.001000,75,70.000000,0.000000,70.000000,0.000000,,,0,0,,,,,0.918188,BIG
ga,ex2_1v_infeasible,2,1,0.001000,100,70.000000,0.000000,70.000000,0.000000,,,0,0,,,,,0.015140,DEFAULT
ga,ex2_1v_infeasible,2,1,0.001000,100,70.000000,0.000000,70.000000,0.000000,,,0,0,,,,,0.002924,SMALL
ga,ex5_3v_one_used_feasible,3,3,0.001000,50,107.597980,120.710678,107.718690,0.000000,,,0,1,,,,,1.165401,BIG
ga,ex5_3v_one_used_feasible,3,3,0.001000,75,107.597980,120.710678,107.718690,0.000000,,,0,1,,,,,0.020625,DEFAULT
ga,ex5_3v_one_used_feasible,3,3,0.001000,75,107.597980,120.710678,107.718690,0.000000,,,0,1,,,,,0.001928,SMALL
ga,hfvrp_n001_m03_s01,1,3,0.001000,200,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.254172,MEDIUM
ga,ex1_1v_feasible,2,1,0.001000,100,84.142136,50.000000,84.192136,0.000000,,,0,1,,,,,0.302642,MEDIUM
ga,ex3_3v_all_feasible,3,3,0.001000,50,162.000000,20.000000,162.020000,0.000000,,,0,1,,,,,1.211185,BIG
ga,ex3_3v_all_feasible,3,3,0.001000,75,162.000000,20.000000,162.020000,0.000000,,,0,1,,,,,0.019869,DEFAULT
ga,ex3_3v_all_feasible,3,3,0.001000,75,162.000000,20.000000,162.020000,0.000000,,,0,1,,,,,0.002012,SMALL
ga,ex2_1v_infeasible,2,1,0.001000,100,70.000000,0.000000,70.000000,0.000000,,,0,0,,,,,0.309334,MEDIUM
ga,ex5_3v_one_used_feasible,3,3,0.001000,75,107.597980,120.710678,107.718690,0.000000,,,0,1,,,,,0.392070,MEDIUM
ga,ex3_3v_all_feasible,3,3,0.001000,75,162.000000,20.000000,162.020000,0.000000,,,0,1,,,,,0.396087,MEDIUM
ga,hfvrp_n001_m03_s01,1,3,0.001000,200,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.735139,BIG
ga,hfvrp_n001_m03_s01,1,3,0.001000,999,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.013065,DEFAULT
ga,hfvrp_n001_m03_s01,1,3,0.001000,999,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.001234,SMALL
ga,ex4_3v_infeasible,4,3,0.001000,50,141.798990,0.000000,141.798990,0.000000,,,0,0,,,,,1.341730,BIG
ga,ex1_1v_feasible,2,1,0.001000,100,84.142136,50.000000,84.192136,0.000000,,,0,1,,,,,0.888606,BIG
ga,ex4_3v_infeasible,4,3,0.001000,75,141.798990,0.000000,141.798990,0.000000,,,0,0,,,,,0.022364,DEFAULT
ga,ex4_3v_infeasible,4,3,0.001000,75,141.798990,0.000000,141.798990,0.000000,,,0,0,,,,,0.003362,SMALL
ga,ex1_1v_feasible,2,1,0.001000,200,84.142136,50.000000,84.192136,0.000000,,,0,1,,,,,0.019211,DEFAULT
ga,ex1_1v_feasible,2,1,0.001000,200,84.142136,50.000000,84.192136,0.000000,,,0,1,,,,,0.001554,SMALL
ga,hfvrp_n001_m03_s01,1,3,0.001000,999,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.247919,MEDIUM
ga,ex2_1v_infeasible,2,1,0.001000,100,70.000000,0.000000,70.000000,0.000000,,,0,0,,,,,0.898956,BIG
ga,ex2_1v_infeasible,2,1,0.001000,200,70.000000,0.000000,70.000000,0.000000,,,0,0,,,,,0.015187,DEFAULT
ga,ex2_1v_infeasible,2,1,0.001000,200,70.000000,0.000000,70.000000,0.000000,,,0,0,,,,,0.001628,SMALL
ga,ex1_1v_feasible,2,1,0.001000,200,84.142136,50.000000,84.192136,0.000000,,,0,1,,,,,0.295734,MEDIUM
ga,ex2_1v_infeasible,2,1,0.001000,200,70.000000,0.000000,70.000000,0.000000,,,0,0,,,,,0.293156,MEDIUM
ga,ex4_3v_infeasible,4,3,0.001000,75,141.798990,0.000000,141.798990,0.000000,,,0,0,,,,,0.439556,MEDIUM
ga,ex5_3v_one_used_feasible,3,3,0.001000,75,107.597980,120.710678,107.718690,0.000000,,,0,1,,,,,1.175708,BIG
ga,ex5_3v_one_used_feasible,3,3,0.001000,100,107.597980,120.710678,107.718690,0.000000,,,0,1,,,,,0.023541,DEFAULT
ga,ex5_3v_one_used_feasible,3,3,0.001000,100,107.597980,120.710678,107.718690,0.000000,,,0,1,,,,,0.001995,SMALL
ga,ex3_3v_all_feasible,3,3,0.001000,75,162.000000,20.000000,162.020000,0.000000,,,0,1,,,,,1.191214,BIG
ga,hfvrp_n001_m03_s01,1,3,0.001000,999,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.729813,BIG
ga,ex3_3v_all_feasible,3,3,0.001000,100,162.000000,20.000000,162.020000,0.000000,,,0,1,,,,,0.024663,DEFAULT
ga,ex3_3v_all_feasible,3,3,0.001000,100,162.000000,20.000000,162.020000,0.000000,,,0,1,,,,,0.002181,SMALL
ga,hfvrp_n001_m03_s01,1,3,0.001000,1234,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.014371,DEFAULT
ga,hfvrp_n001_m03_s01,1,3,0.001000,1234,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.001855,SMALL
ga,ex5_3v_one_used_feasible,3,3,0.001000,100,107.597980,120.710678,107.718690,0.000000,,,0,1,,,,,0.382596,MEDIUM
ga,hfvrp_n001_m03_s01,1,3,0.001000,1234,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.241222,MEDIUM
ga,ex3_3v_all_feasible,3,3,0.001000,100,162.000000,20.000000,162.020000,0.000000,,,0,1,,,,,0.390074,MEDIUM
ga,ex1_1v_feasible,2,1,0.001000,200,84.142136,50.000000,84.192136,0.000000,,,0,1,,,,,0.887596,BIG
ga,ex1_1v_feasible,2,1,0.001000,999,84.142136,50.000000,84.192136,0.000000,,,0,1,,,,,0.015300,DEFAULT
ga,ex1_1v_feasible,2,1,0.001000,999,84.142136,50.000000,84.192136,0.000000,,,0,1,,,,,0.003009,SMALL
ga,ex2_1v_infeasible,2,1,0.001000,200,70.000000,0.000000,70.000000,0.000000,,,0,0,,,,,0.897619,BIG
ga,ex2_1v_infeasible,2,1,0.001000,999,70.000000,0.000000,70.000000,0.000000,,,0,0,,,,,0.017432,DEFAULT
ga,ex2_1v_infeasible,2,1,0.001000,999,70.000000,0.000000,70.000000,0.000000,,,0,0,,,,,0.004013,SMALL
ga,ex1_1v_feasible,2,1,0.001000,999,84.142136,50.000000,84.192136,0.000000,,,0,1,,,,,0.300230,MEDIUM
ga,ex2_1v_infeasible,2,1,0.001000,999,70.000000,0.000000,70.000000,0.000000,,,0,0,,,,,0.295875,MEDIUM
ga,ex4_3v_infeasible,4,3,0.001000,75,141.798990,0.000000,141.798990,0.000000,,,0,0,,,,,1.328528,BIG
ga,hfvrp_n001_m03_s01,1,3,0.001000,1234,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.748661,BIG
ga,ex4_3v_infeasible,4,3,0.001000,100,141.798990,0.000000,141.798990,0.000000,,,0,0,,,,,0.026085,DEFAULT
ga,ex4_3v_infeasible,4,3,0.001000,100,141.798990,0.000000,141.798990,0.000000,,,0,0,,,,,0.002422,SMALL
ga,hfvrp_n001_m03_s01,1,3,0.001000,9999,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.016678,DEFAULT
ga,hfvrp_n001_m03_s01,1,3,0.001000,9999,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.001869,SMALL
ga,hfvrp_n001_m03_s01,1,3,0.001000,9999,87.334995,168.337487,87.503332,0.000000,,,0,1,,,,,0.242990,MEDIUM
