method,instance,runs,cost_mean,cost_std,runtime_mean
savings,hfvrp_n010_m03_s01,1,651.1283,0,0.0000
savings,hfvrp_n010_m03_s02,1,744.0135,0,0.0000
savings,hfvrp_n010_m03_s03,1,744.6904,0,0.0000
savings,hfvrp_n010_m03_s04,1,752.5984,0,0.0000
savings,hfvrp_n010_m03_s05,1,645.7612,0,0.0000
savings,hfvrp_n015_m03_s01,1,1322.5846,0,0.0001
savings,hfvrp_n015_m03_s02,1,1147.5503,0,0.0000
savings,hfvrp_n015_m03_s03,1,780.6358,0,0.0001
savings,hfvrp_n015_m03_s04,1,1894.5419,0,0.0001
savings,hfvrp_n015_m03_s05,1,909.4788,0,0.0001
savings,hfvrp_n020_m04_s01,1,1201.1502,0,0.0002
savings,hfvrp_n020_m04_s02,1,1131.5862,0,0.0001
savings,hfvrp_n020_m04_s03,1,1750.2136,0,0.0001
savings,hfvrp_n020_m04_s04,1,1613.0906,0,0.0001
savings,hfvrp_n020_m04_s05,1,1633.6980,0,0.0001
savings,hfvrp_n030_m06_s01,1,2429.1429,0,0.0004
savings,hfvrp_n030_m06_s02,1,2147.6997,0,0.0002
savings,hfvrp_n030_m06_s03,1,2003.6322,0,0.0006
savings,hfvrp_n030_m06_s04,1,1918.8727,0,0.0001
savings,hfvrp_n030_m06_s05,1,2139.3102,0,0.0001
savings,hfvrp_n050_m10_s01,1,5000.4358,0,0.0026
savings,hfvrp_n050_m10_s02,1,5797.3780,0,0.0012
savings,hfvrp_n050_m10_s03,1,5730.1541,0,0.0010
savings,hfvrp_n050_m10_s04,1,5350.2536,0,0.0015
savings,hfvrp_n050_m10_s05,1,5011.1468,0,0.0007
savings,hfvrp_n075_m15_s01,1,5976.5064,0,0.0010
savings,hfvrp_n075_m15_s02,1,7811.3346,0,0.0006
savings,hfvrp_n075_m15_s03,1,8176.6727,0,0.0009
savings,hfvrp_n075_m15_s04,1,7437.3913,0,0.0010
savings,hfvrp_n075_m15_s05,1,6532.8962,0,0.0007
savings,hfvrp_n100_m20_s01,1,10388.4650,0,0.0125
savings,hfvrp_n100_m20_s02,1,11096.7334,0,0.0021
savings,hfvrp_n100_m20_s03,1,10884.5593,0,0.0069
savings,hfvrp_n100_m20_s04,1,11084.9340,0,0.0081
savings,hfvrp_n100_m20_s05,1,10684.3673,0,0.0080
savings,hfvrp_n150_m30_s01,1,21206.8635,0,0.0134
savings,hfvrp_n150_m30_s02,1,19590.0887,0,0.0160
savings,hfvrp_n150_m30_s03,1,21304.9069,0,0.0166
savings,hfvrp_n150_m30_s04,1,21400.9837,0,0.0174
savings,hfvrp_n150_m30_s05,1,16934.8369,0,0.0117
savings,hfvrp_n200_m40_s01,1,26560.6058,0,0.0162
savings,hfvrp_n200_m40_s02,1,27580.4766,0,0.0191
savings,hfvrp_n200_m40_s03,1,28116.5580,0,0.0156
savings,hfvrp_n200_m40_s04,1,26281.3034,0,0.0261
savings,hfvrp_n200_m40_s05,1,24924.5754,0,0.0297
savings,pyvrp_X101_FSMFD,1,3731377.4915,0,0.0007
savings,pyvrp_X106_FSMD,1,4030840.5640,0,0.0019
savings,pyvrp_X110_HD,1,2246418.8285,0,0.0007
savings,pyvrp_X120_FSMF,1,3207644.2232,0,0.0022
tabu,augerat_A_n32_k5,12,8686.0988,0.0000,0.0752
tabu,augerat_A_n37_k5,12,8253.5519,0.0000,0.1449
tabu,augerat_A_n45_k6,12,11523.6355,0.0000,0.2054
tabu,augerat_A_n54_k7,12,13032.3757,0.0000,0.3198
tabu,augerat_A_n60_k9,12,15654.1289,0.0000,0.4595
tabu,augerat_A_n80_k10,12,18262.3220,0.0000,0.9507
tabu,ex1_1v_feasible,12,96.6421,0.0000,0.0000
tabu,ex3_3v_all_feasible,12,167.0000,0.0000,0.0000
tabu,ex5_3v_one_used_feasible,12,128.2990,0.0000,0.0001
tabu,hfvrp_n001_m03_s01,12,129.4194,0.0000,0.0003
tabu,hfvrp_n001_m03_s02,12,168.9472,0.0000,0.0002
tabu,hfvrp_n001_m03_s03,12,130.4387,0.0000,0.0002
tabu,hfvrp_n001_m03_s04,12,122.3868,0.0000,0.0002
tabu,hfvrp_n001_m03_s05,12,97.7347,0.0000,0.0002
tabu,hfvrp_n002_m03_s01,12,379.8548,0.0000,0.0005
tabu,hfvrp_n002_m03_s02,12,149.3690,0.0000,0.0003
tabu,hfvrp_n002_m03_s03,12,191.6438,0.0000,0.0005
tabu,hfvrp_n002_m03_s04,12,183.4134,0.0000,0.0006
tabu,hfvrp_n002_m03_s05,12,297.7926,0.0000,0.0005
tabu,hfvrp_n005_m03_s01,12,386.6674,0.0000,0.0001
tabu,hfvrp_n005_m03_s02,12,433.5826,0.0000,0.0018
tabu,hfvrp_n005_m03_s03,12,444.7348,0.0000,0.0017
tabu,hfvrp_n005_m03_s04,12,350.4459,0.0000,0.0016
tabu,hfvrp_n005_m03_s05,12,438.4297,0.0000,0.0001
tabu,hfvrp_n010_m03_s01,12,583.3964,0.0000,0.0054
tabu,hfvrp_n010_m03_s02,12,621.1946,0.0000,0.0010
tabu,hfvrp_n010_m03_s03,12,725.6380,0.0000,0.0062
tabu,hfvrp_n010_m03_s04,12,659.2102,0.0000,0.0007
tabu,hfvrp_n010_m03_s05,12,645.7612,0.0000,0.0051
tabu,hfvrp_n015_m03_s01,12,900.1769,0.0000,0.0147
tabu,hfvrp_n015_m03_s02,12,940.4516,0.0000,0.0147
tabu,hfvrp_n015_m03_s03,12,663.0746,0.0000,0.0141
tabu,hfvrp_n015_m03_s04,12,1186.7106,0.0000,0.0142
tabu,hfvrp_n015_m03_s05,12,909.4788,0.0000,0.0081
tabu,hfvrp_n020_m04_s01,12,992.3814,0.0000,0.0276
tabu,hfvrp_n020_m04_s02,12,1065.0811,0.0000,0.0157
tabu,hfvrp_n020_m04_s03,12,1145.4349,0.0000,0.0224
tabu,hfvrp_n020_m04_s04,12,1196.1167,0.0000,0.0304
tabu,hfvrp_n020_m04_s05,12,1104.1577,0.0000,0.0243
tabu,hfvrp_n030_m06_s01,12,1964.5610,0.0000,0.0903
tabu,hfvrp_n030_m06_s02,12,1649.0419,0.0000,0.0991
tabu,hfvrp_n030_m06_s03,12,1790.3007,0.0000,0.0782
tabu,hfvrp_n030_m06_s04,12,1673.1995,0.0000,0.1192
tabu,hfvrp_n030_m06_s05,12,1612.7548,0.0000,0.0597
tabu,hfvrp_n050_m10_s01,12,3275.1886,0.0000,0.4972
