method,variant,instance,N,exact_status,exact_optimal,exact_cost,method_cost_mean,method_cost_best,delta_mean,delta_best,gap_mean_pct,gap_best_pct,runtime_mean
ga,MEDIUM,hfvrp_n030_m06_s02,30,mem_limit,0,1743.1397,2028.1205,1875.4974,284.9809,132.3577,16.3487,7.5931,1.9638
ga,MEDIUM,hfvrp_n030_m06_s03,30,time_limit,0,1681.4655,1916.7219,1898.6930,235.2564,217.2275,13.9912,12.9189,1.9328
ga,MEDIUM,hfvrp_n030_m06_s04,30,mem_limit,0,1692.7066,1785.9903,1745.5058,93.2837,52.7992,5.5109,3.1192,2.0136
ga,MEDIUM,hfvrp_n030_m06_s05,30,time_limit,0,1679.0015,1800.8261,1764.5189,121.8246,85.5174,7.2558,5.0934,1.9621
ga,MEDIUM,hfvrp_n050_m10_s01,50,mem_limit,0,3781.9886,4049.5459,3729.3339,267.5572,-52.6548,7.0745,-1.3923,3.3922
ga,MEDIUM,hfvrp_n050_m10_s02,50,mem_limit,0,4610.8568,4841.4680,4594.5469,230.6111,-16.3099,5.0015,-0.3537,3.3965
ga,MEDIUM,hfvrp_n050_m10_s03,50,time_limit,0,3555.9715,4267.3856,3871.9374,711.4141,315.9659,20.0062,8.8855,3.4029
ga,MEDIUM,hfvrp_n050_m10_s04,50,mem_limit,0,3503.1811,4346.3601,4145.1836,843.1790,642.0024,24.0690,18.3263,3.3907
ga,MEDIUM,hfvrp_n050_m10_s05,50,mem_limit,0,4407.8052,4603.4500,4322.4038,195.6449,-85.4013,4.4386,-1.9375,3.3743
ga,MEDIUM,hfvrp_n075_m15_s01,75,mem_limit,0,6362.8505,5635.4364,5299.1131,-727.4141,-1063.7374,-11.4322,-16.7179,5.5017
ga,MEDIUM,hfvrp_n075_m15_s03,75,time_limit,0,8550.8785,7557.5744,6783.4888,-993.3041,-1767.3897,-11.6164,-20.6691,5.5084
ga,MEDIUM,hfvrp_n075_m15_s04,75,mem_limit,0,7312.6423,7260.1496,6770.0372,-52.4927,-542.6051,-0.7178,-7.4201,5.5815
ga,MEDIUM,hfvrp_n075_m15_s05,75,time_limit,0,8668.6069,6965.6658,6577.6295,-1702.9410,-2090.9774,-19.6449,-24.1213,5.5150
ga,MEDIUM,hfvrp_n100_m20_s03,100,time_limit,0,13090.2577,10744.9512,9979.6997,-2345.3065,-3110.5580,-17.9164,-23.7624,7.7263
ga,MEDIUM,hfvrp_n100_m20_s04,100,time_limit,0,11478.9947,10641.2105,9901.3350,-837.7842,-1577.6597,-7.2984,-13.7439,7.6785
ga,MEDIUM,hfvrp_n100_m20_s05,100,time_limit,0,12737.2241,10687.7874,9983.6946,-2049.4367,-2753.5296,-16.0901,-21.6180,7.7669
ga,SMALL,augerat_A_n32_k5,31,mem_limit,0,6764.4224,8846.5590,8701.3598,2082.1366,1936.9375,30.7807,28.6342,0.0140
ga,SMALL,augerat_A_n37_k5,36,time_limit,0,6225.2615,8757.8817,8589.9963,2532.6203,2364.7348,40.6830,37.9861,0.0154
ga,SMALL,augerat_A_n45_k6,44,mem_limit,0,10679.9367,12311.4950,12099.5689,1631.5583,1419.6322,15.2769,13.2925,0.0208
ga,SMALL,augerat_A_n54_k7,53,time_limit,0,12760.8000,13840.8035,13631.9856,1080.0035,871.1856,8.4634,6.8270,0.0249
ga,SMALL,augerat_A_n60_k9,59,time_limit,0,15088.8010,17341.9961,17061.9859,2253.1951,1973.1849,14.9329,13.0771,0.0263
ga,SMALL,augerat_A_n80_k10,79,time_limit,0,20194.6107,20099.4981,19734.3009,-95.1126,-460.3098,-0.4710,-2.2794,0.0361
ga,SMALL,ex1_1v_feasible,2,optimal,1,96.6421,96.6421,96.6421,0.0000,0.0000,0.0000,0.0000,0.0026
ga,SMALL,ex3_3v_all_feasible,3,optimal,1,167.0000,167.0000,167.0000,0.0000,0.0000,0.0000,0.0000,0.0032
ga,SMALL,ex5_3v_one_used_feasible,3,optimal,1,128.2990,128.2990,128.2990,0.0000,0.0000,0.0000,0.0000,0.0030
ga,SMALL,hfvrp_n001_m03_s01,1,optimal,1,129.4194,129.4194,129.4194,0.0000,0.0000,0.0000,0.0000,0.0022
ga,SMALL,hfvrp_n001_m03_s02,1,optimal,1,168.9472,168.9472,168.9472,0.0000,0.0000,0.0000,0.0000,0.0020
ga,SMALL,hfvrp_n001_m03_s03,1,optimal,1,130.4387,130.4387,130.4387,0.0000,0.0000,0.0000,0.0000,0.0024
ga,SMALL,hfvrp_n001_m03_s04,1,optimal,1,122.3868,122.3868,122.3868,0.0000,0.0000,0.0000,0.0000,0.0020
ga,SMALL,hfvrp_n001_m03_s05,1,optimal,1,97.7347,97.7347,97.7347,0.0000,0.0000,0.0000,0.0000,0.0018
ga,SMALL,hfvrp_n002_m03_s01,2,optimal,1,379.8548,379.8548,379.8548,0.0000,0.0000,0.0000,0.0000,0.0028
ga,SMALL,hfvrp_n002_m03_s02,2,optimal,1,149.3690,149.3690,149.3690,0.0000,0.0000,0.0000,0.0000,0.0035
ga,SMALL,hfvrp_n002_m03_s03,2,optimal,1,191.6438,191.6438,191.6438,0.0000,0.0000,0.0000,0.0000,0.0028
ga,SMALL,hfvrp_n002_m03_s04,2,optimal,1,183.4134,183.8014,183.8014,0.3880,0.3880,0.2116,0.2116,0.0023
ga,SMALL,hfvrp_n002_m03_s05,2,optimal,1,297.7926,381.7497,381.7497,83.9570,83.9570,28.1931,28.1931,0.0024
ga,SMALL,hfvrp_n005_m03_s01,5,optimal,1,386.6674,386.6674,386.6674,0.0000,0.0000,0.0000,0.0000,0.0035
ga,SMALL,hfvrp_n005_m03_s02,5,optimal,1,402.6410,414.7710,414.7710,12.1299,12.1299,3.0126,3.0126,0.0035
ga,SMALL,hfvrp_n005_m03_s03,5,optimal,1,444.7348,444.7348,444.7348,0.0000,0.0000,0.0000,0.0000,0.0046
ga,SMALL,hfvrp_n005_m03_s04,5,optimal,1,350.4459,350.4459,350.4459,0.0000,0.0000,0.0000,0.0000,0.0035
ga,SMALL,hfvrp_n005_m03_s05,5,optimal,1,428.9074,436.2659,435.6492,7.3585,6.7418,1.7156,1.5719,0.0044
ga,SMALL,hfvrp_n010_m03_s01,10,optimal,1,583.3964,600.4829,597.4578,17.0864,14.0614,2.9288,2.4103,0.0049
ga,SMALL,hfvrp_n010_m03_s02,10,optimal,1,621.1946,676.7204,663.9763,55.5258,42.7817,8.9385,6.8870,0.0062
ga,SMALL,hfvrp_n010_m03_s03,10,optimal,1,725.6380,748.5937,744.6904,22.9557,19.0524,3.1635,2.6256,0.0051
ga,SMALL,hfvrp_n010_m03_s04,10,optimal,1,655.7316,694.2957,694.2957,38.5641,38.5641,5.8811,5.8811,0.0056
ga,SMALL,hfvrp_n010_m03_s05,10,optimal,1,645.7612,833.1155,715.8126,187.3543,70.0514,29.0129,10.8479,0.0069
ga,SMALL,hfvrp_n015_m03_s01,15,optimal,1,896.1105,1247.0272,1150.6078,350.9167,254.4973,39.1600,28.4002,0.0079
ga,SMALL,hfvrp_n015_m03_s02,15,optimal,1,889.5634,1110.3225,1073.0947,220.7591,183.5314,24.8166,20.6316,0.0070
ga,SMALL,hfvrp_n015_m03_s03,15,optimal,1,663.0746,777.6820,751.3223,114.6073,88.2477,17.2842,13.3089,0.0079
ga,SMALL,hfvrp_n015_m03_s04,15,time_limit,0,1164.8686,1695.4604,1695.4604,530.5918,530.5918,45.5495,45.5495,0.0063
ga,SMALL,hfvrp_n015_m03_s05,15,optimal,1,817.5518,929.5524,924.0072,112.0005,106.4553,13.6995,13.0212,0.0086
ga,SMALL,hfvrp_n020_m04_s01,20,time_limit,0,979.1195,1173.4977,1083.4929,194.3782,104.3734,19.8524,10.6599,0.0095
ga,SMALL,hfvrp_n020_m04_s02,20,time_limit,0,984.3551,1140.7180,1079.9691,156.3629,95.6141,15.8848,9.7134,0.0090
ga,SMALL,hfvrp_n020_m04_s03,20,time_limit,0,1158.4094,1443.6536,1382.8780,285.2441,224.4686,24.6238,19.3773,0.0105
ga,SMALL,hfvrp_n020_m04_s04,20,time_limit,0,1118.1304,1464.6142,1334.5286,346.4837,216.3982,30.9878,19.3536,0.0093
ga,SMALL,hfvrp_n020_m04_s05,20,time_limit,0,1104.1577,1405.3571,1279.9582,301.1994,175.8004,27.2787,15.9217,0.0092
ga,SMALL,hfvrp_n030_m06_s01,30,mem_limit,0,2028.9442,2640.2334,2419.1098,611.2892,390.1656,30.1284,19.2300,0.0136
ga,SMALL,hfvrp_n030_m06_s02,30,mem_limit,0,1743.1397,2219.1610,2074.4091,476.0214,331.2694,27.3083,19.0042,0.0126
